Review,Rating,One-word Review,Product Name,Product ID,Sentiment_Score,compound,vader_lexicon_Sentiment,Polarity,TextBlob_Sentiment,predicted_sentiment,recommendation
Reviewing after one month use Nice and handy phone with 6.4 display Compact size. Camera  is mind blowing  Battery life is ok Display is amazing with victous glass protection which is best in market For normal use its a best phone with amazing features and customisation,5,Great product,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.9682}",0.9995375871658325,Positive,0.6312499999999999,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Reviewing after one month use Nice and handy phone...
"It is a great mobile, its camera is exactly like a flagship, can not get a better mobile in this range.",5,Must buy!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.099, 'neu': 0.574, 'pos': 0.328, 'compound': 0.6802}",0.9902622103691101,Positive,0.5166666666666667,Positive,POSITIVE,"Highly recommend Samsung Galaxy S21 FE! Users love it for its It is a great mobile, its camera is exactly like a..."
"Using since last 10 days and super happy with the purchase, also prompt delivery by flipkart,what an amazing camera,display and lovely one UI,received immediate android 13 one UI 5 update,overall happy and satisfied with my purchase.",5,Awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.572, 'pos': 0.428, 'compound': 0.9709}",0.999817430973053,Positive,0.5047619047619047,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Using since last 10 days and super happy with the ...
I personally buy this phone for camera it is good but sometimes feeling need more optimisation and battery performance also good when we get refresh rate at standard it will go for long day 120 hz can drain ur battery easily and display is also very good sound was dolby atmos was very good soo finally experiencing flagship samsung mobile haptic feedback is also nice now slowly felling love with this mobile,5,Excellent,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.9865}",0.9899566769599915,Positive,0.3788095238095237,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its I personally buy this phone for camera it is good ...
Best camera. Super display. IP 68 rating. 3 yrs Android updates. A good all rounder mobile. But missing fast charging compare with other mobiles in this price segment. It's ok for me.,5,Perfect product!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.074, 'neu': 0.665, 'pos': 0.261, 'compound': 0.7184}",0.9979761242866516,Positive,0.344047619047619,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Best camera. Super display. IP 68 rating. 3 yrs An...
Awesome phone. Loved the camera . Display is Awesome and beautiful. Buy it without hesitating,5,Awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.333, 'pos': 0.667, 'compound': 0.9586}",0.9997726082801819,Positive,0.8875000000000001,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Awesome phone. Loved the camera . Display is Aweso...
Design Good Camera is just awesome Battery is decent. For Normal user the Battery is enough for a day (who use phone 4-6 hour ) Performance is Good If u want a phone for photography then it mind-blowing go for it 🥰,4,Really Nice,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.8807}",0.9993664622306824,Positive,0.4527777777777778,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Design Good Camera is just awesome Battery is dece...
Stunning camera performance mind blowing purchase.,5,Terrific purchase,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.3818}",0.9993114471435547,Positive,0.5,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Stunning camera performance mind blowing purchase....
"Amazing camera, brilliant display, Wonderful UI, satisfactory battery performance.",5,Great product,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.266, 'pos': 0.734, 'compound': 0.93}",0.9998825788497925,Positive,0.8333333333333334,Positive,POSITIVE,"Highly recommend Samsung Galaxy S21 FE! Users love it for its Amazing camera, brilliant display, Wonderful UI, s..."
Smooth,5,Just wow!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9997949004173279,Neutral,0.4,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Smooth...
"Amazing phone , In love with its design and in hand feel Cameras are good , Amazing software experience one UI  I was confused between iphone 13 and this.... but it offers telephoto lens that too with OIS and Endless customisation options in Android Battery is not that much bad ....can last a day easily Speakers  are great and loud ..... Surround Dolby audio ...but lack bass a bit Go for it If you're getting it in under 40K Bang for buck",5,Best in the market!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.048, 'neu': 0.701, 'pos': 0.251, 'compound': 0.9605}",0.9805586934089661,Positive,0.1891025641025641,Positive,POSITIVE,"Highly recommend Samsung Galaxy S21 FE! Users love it for its Amazing phone , In love with its design and in han..."
Here's a general all time camera samples . Best phone you can get around 30k ,5,Must buy!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.6369}",0.87314373254776,Positive,0.525,Positive,NEGATIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Here's a general all time camera samples . Best ph...
Super,4,Really Nice,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",0.998783528804779,Positive,0.3333333333333333,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Super...
Very Nice,5,Super!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4754}",0.9998563528060913,Positive,0.78,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Very Nice...
Mind blowing camera,5,Fabulous!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.8844268321990967,Neutral,0.0,Neutral,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Mind blowing camera...
Terrific purchase..at best price..truly loved the camera experience,5,Wonderful,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.309, 'pos': 0.691, 'compound': 0.9042}",0.999870777130127,Positive,0.5666666666666667,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Terrific purchase..at best price..truly loved the ...
Experience of this phone is totally awesome... camera quality is superb even with 30x zoom camera works well...best point is display... completely satisfied with the product ,5,Just wow!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.8016}",0.9997389912605286,Positive,0.8333333333333334,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Experience of this phone is totally awesome... cam...
Very nice looking  Very good camera Performance is good combination of exynos Battery is slightly better Yes it is worth for money,5,Perfect product!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.9372}",0.999414324760437,Positive,0.6379999999999999,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Very nice looking  Very good camera Performance is...
Awesome camera,5,Classy product,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.9998714923858643,Positive,1.0,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Awesome camera...
"The phone is really good in terms of camera All three lenses work exceptionally well Portrait through telephoto lens are amazing in daylight. The designe is also really good simple and elegant Sound from the stereo speakers are really loud and crisp and and the display is one of the the best in the segment My only concern is the battery though i am not a heavy user, i hardly play any games still the phone barely makes it through the day when fully charged U can expect screen on time of about... READ MORE",4,Wonderful,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.02, 'neu': 0.775, 'pos': 0.205, 'compound': 0.9633}",0.9993541836738586,Positive,0.3516666666666666,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its The phone is really good in terms of camera All th...
Fantastic mobile love  it and very fast delivery thank you flipkart,5,Fabulous!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.431, 'pos': 0.569, 'compound': 0.8901}",0.999870777130127,Positive,0.3866666666666667,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Fantastic mobile love  it and very fast delivery t...
Precious product. Bestest camera. I am fully satisfied. Thank you ,5,Terrific,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.8615}",0.9998700618743896,Positive,0.5,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Precious product. Bestest camera. I am fully satis...
Camera is awesome  Premium built. Everything is amazing except battery performance . Awesome phone,4,Very Good,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.9186}",0.9998331069946289,Positive,0.8666666666666667,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Camera is awesome  Premium built. Everything is am...
Love itt ,5,Brilliant,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.9998823404312134,Positive,0.5,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Love itt ...
Very very good  camera ,5,Terrific purchase,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.464, 'pos': 0.536, 'compound': 0.5379}",0.9998770952224731,Positive,0.91,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Very very good  camera ...
"Great camera ,display and design . Can handle multitasking with ease and very snapy for navigating between apps. Battery is decent. You can play any games but if you are buying a phone mainly focused on gaming there are better phones out there . This device is an underrated gem in this segment !",5,Awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.9108}",0.999297022819519,Positive,0.3916666666666667,Positive,POSITIVE,"Highly recommend Samsung Galaxy S21 FE! Users love it for its Great camera ,display and design . Can handle mult..."
Best shots comes in daylight condition Overall good phone at this price range  Cons. Poor battery backup you need to recharge the device twice a day,4,Nice product,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.096, 'neu': 0.683, 'pos': 0.22, 'compound': 0.6124}",0.9909262657165527,Positive,0.3249999999999999,Positive,NEGATIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Best shots comes in daylight condition Overall goo...
Excellent Camera and Display. Performance also awesome. Only thing can be improved is battery. I'm mixed user I get 5 hrs of SOT.,5,Excellent,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8979}",0.9838274717330933,Positive,0.5,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Excellent Camera and Display. Performance also awe...
Wonderful product. Everything is extraordinary.,5,Terrific,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.5719}",0.9998890161514282,Positive,0.6666666666666666,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Wonderful product. Everything is extraordinary....
Photos was next level,5,Terrific purchase,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9892338514328003,Neutral,0.0,Neutral,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Photos was next level...
"It's been 3-4 months using this phone. [UPDATED]  Pros. 1. I've bought 128GB variant out of that 128GB, 122GB is occupied by Apps, Videos, Photos etc... still 0% lagg. Working like a brand new. 2. Unbeatable camera at this price, even some people ask are these pictures clicked from DSLR. Telephoto lens is capturing great pictures even in low light. 3. Good quality of display. 4. Feels premium as it's very sleek and light weight. 5. Fast charging, charges the phone in 1 hour 10 minutes. 6. Ram... READ MORE",5,Simply awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.043, 'neu': 0.858, 'pos': 0.098, 'compound': 0.743}",0.6141887903213501,Positive,0.3707070707070707,Positive,POSITIVE,Consider Samsung Galaxy S21 FE if you're looking for a solid option. Users say: It's been 3-4 months using this phone. [UPDATED]  ...
I am using this phone since last 25 days Firstly the good things phone cameras are awesome And Display is a fantastic even we use sunlight also the Display is very cleared. And Performance is very very good. It's Design is ok Bad things Only the Battery Performance it is normal user it is ok but gaming lover or heavy user it is not good of battery life,5,Fabulous!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.028, 'neu': 0.695, 'pos': 0.277, 'compound': 0.9524}",0.9897769689559937,Positive,0.24,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its I am using this phone since last 25 days Firstly t...
Just  camera,5,Best in the market!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9962567090988159,Neutral,0.0,Neutral,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Just  camera...
"Review after using one month.  Just one word, Outstanding. What a masterpiece by samsung. If you want to get premium phone under 50k Just go for it without any doubt. It clicks wonderful photos,runs smooth while playing games,no heat issue. Feels good in hand. Front cam is also awesome.  Thank you flip kart for fast delivery.",5,Worth every penny,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.9812}",0.9997933506965637,Positive,0.6333333333333333,Positive,POSITIVE,"Highly recommend Samsung Galaxy S21 FE! Users love it for its Review after using one month.  Just one word, Outs..."
Nice performance Nice experience I love  samsung,5,Terrific purchase,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.234, 'pos': 0.766, 'compound': 0.8689}",0.9998733997344971,Positive,0.5666666666666667,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Nice performance Nice experience I love  samsung...
Best camera phone in segment,5,Fabulous!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.9988186955451965,Positive,1.0,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Best camera phone in segment...
Superb phone I'm happy with my my purchase Camera is superb  Nice looking and display  Sound quality is good ,5,Awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.9559}",0.9998582601547241,Positive,0.75,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Superb phone I'm happy with my my purchase Camera ...
Superb phone. Camara a1.,5,Simply awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}",0.9951712489128113,Positive,1.0,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Superb phone. Camara a1....
Best camera in range. Battery lasts as expected. Superb design and classy look .. Themes are also good.. Selfie camera isn't up to mark but ok.,5,Classy product,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.836}",0.9998193383216858,Positive,0.5333333333333333,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Best camera in range. Battery lasts as expected. S...
Best camera BTW there little bit heat in outdoor use,5,Simply awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6369}",0.9653006196022034,Positive,0.40625,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Best camera BTW there little bit heat in outdoor u...
Amazing phone with Amazing Camera but overheating problem,5,Highly recommended,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.266, 'neu': 0.375, 'pos': 0.36, 'compound': 0.0644}",0.9928431510925293,Positive,0.6000000000000001,Positive,NEGATIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Amazing phone with Amazing Camera but overheating ...
"I was looking at this phone before BBD and it was at the lowest price at that time, I didn't get it at lowest price but lower price of 33k and even at this price this device worth a lot.  Lavender color was my last choice but other options were out of stock so had to go with it. But believe me this color is the best of all.  Even back is plastic it doesn't look cheap.  My verdict. Camera : 5 Display : 5 Battery : 3.5 Performance : 4.5 Build : 4.5  Bonus: You get water and dust resistance al... READ MORE",5,Simply awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.059, 'neu': 0.804, 'pos': 0.137, 'compound': 0.886}",0.9955917000770569,Positive,0.2964285714285714,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its I was looking at this phone before BBD and it was ...
Superb mobile phone that's all ,5,Awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.999737560749054,Positive,1.0,Positive,POSITIVE,Highly recommend Samsung Galaxy S21 FE! Users love it for its Superb mobile phone that's all ...
