Review,Rating,One-word Review,Product Name,Product ID,Sentiment_Score,compound,vader_lexicon_Sentiment
Reviewing after one month use Nice and handy phone with 6.4 display Compact size. Camera 📷 is mind blowing 🔥🔥 Battery life is ok Display is amazing with victous glass protection which is best in market For normal use its a best phone with amazing features and customisation,5,Great product,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.9682}",0.9682,Positive
"It is a great mobile, its camera is exactly like a flagship, can not get a better mobile in this range.",5,Must buy!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.099, 'neu': 0.574, 'pos': 0.328, 'compound': 0.6802}",0.6802,Positive
"Using since last 10 days and super happy with the purchase, also prompt delivery by flipkart,what an amazing camera,display and lovely one UI,received immediate android 13 one UI 5 update,overall happy and satisfied with my purchase.",5,Awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.572, 'pos': 0.428, 'compound': 0.9709}",0.9709,Positive
I personally buy this phone for camera it is good but sometimes feeling need more optimisation and battery performance also good when we get refresh rate at standard it will go for long day 120 hz can drain ur battery easily and display is also very good sound was dolby atmos was very good soo finally experiencing flagship samsung mobile haptic feedback is also nice now slowly felling love with this mobile,5,Excellent,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.9865}",0.9865,Positive
Best camera. Super display. IP 68 rating. 3 yrs Android updates. A good all rounder mobile. But missing fast charging compare with other mobiles in this price segment. It's ok for me.,5,Perfect product!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.074, 'neu': 0.665, 'pos': 0.261, 'compound': 0.7184}",0.7184,Positive
Awesome phone. Loved the camera . Display is Awesome and beautiful. Buy it without hesitating,5,Awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.333, 'pos': 0.667, 'compound': 0.9586}",0.9586,Positive
Design Good Camera is just awesome Battery is decent. For Normal user the Battery is enough for a day (who use phone 4-6 hour ) Performance is Good If u want a phone for photography then it mind-blowing go for it 🥰,4,Really Nice,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.8807}",0.8807,Positive
Stunning camera performance mind blowing purchase.,5,Terrific purchase,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.3818}",0.3818,Positive
"Amazing camera, brilliant display, Wonderful UI, satisfactory battery performance.",5,Great product,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.266, 'pos': 0.734, 'compound': 0.93}",0.93,Positive
Smooth,5,Just wow!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"Amazing phone , In love with its design and in hand feel Cameras are good , Amazing software experience one UI ❤ I was confused between iphone 13 and this.... but it offers telephoto lens that too with OIS and Endless customisation options in Android Battery is not that much bad ....can last a day easily Speakers 🔊 are great and loud ..... Surround Dolby audio ...but lack bass a bit Go for it If you're getting it in under 40K Bang for buck",5,Best in the market!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.048, 'neu': 0.701, 'pos': 0.251, 'compound': 0.9605}",0.9605,Positive
Here's a general all time camera samples . Best phone you can get around 30k ❤,5,Must buy!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.6369}",0.6369,Positive
Super,4,Really Nice,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",0.5994,Positive
Very Nice,5,Super!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4754}",0.4754,Positive
Mind blowing camera,5,Fabulous!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Terrific purchase..at best price..truly loved the camera experience,5,Wonderful,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.309, 'pos': 0.691, 'compound': 0.9042}",0.9042,Positive
Experience of this phone is totally awesome... camera quality is superb even with 30x zoom camera works well...best point is display... completely satisfied with the product ❤️,5,Just wow!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.8016}",0.8016,Positive
Very nice looking 👌 Very good camera Performance is good combination of exynos Battery is slightly better Yes it is worth for money,5,Perfect product!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.9372}",0.9372,Positive
Awesome camera,5,Classy product,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,Positive
"The phone is really good in terms of camera All three lenses work exceptionally well Portrait through telephoto lens are amazing in daylight. The designe is also really good simple and elegant Sound from the stereo speakers are really loud and crisp and and the display is one of the the best in the segment My only concern is the battery though i am not a heavy user, i hardly play any games still the phone barely makes it through the day when fully charged U can expect screen on time of about... READ MORE",4,Wonderful,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.02, 'neu': 0.775, 'pos': 0.205, 'compound': 0.9633}",0.9633,Positive
Fantastic mobile love ❤️ it and very fast delivery thank you flipkart,5,Fabulous!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.46, 'pos': 0.54, 'compound': 0.8901}",0.8901,Positive
